Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Contact,7.30,73684,100920329,165900000,90000000
Stuart Little 2,5.60,7534,64956806,166000000,120000000
Mr. Deeds,5.50,39756,126293452,171269535,50000000
Black Hawk Down,7.70,98653,108638745,173638745,95000000
The Bridges of Madison County,7.20,21923,71516617,175516617,22000000
How to Lose a Guy in 10 Days,6.10,33866,105807520,177079973,50000000
The Haunting,4.60,31808,91188905,180188905,80000000
Brokeback Mountain,7.80,115951,83043761,180343761,13900000
The First Wives Club,5.60,14682,105489203,181489203,30000000
Atlantis: The Lost Empire,6.40,15552,84052762,186049020,90000000
Knowing,6.40,58138,79957634,187858642,50000000
The Sum of All Fears,6.30,38586,118471320,193500000,68000000
Beowulf,6.60,62513,82195215,194995215,150000000
Lemony Snicket's A Series of Unfortunate Events,6.90,51614,118627117,201627117,100000000
JFK,8.00,59684,70405498,205400000,40000000
Red Dragon,7.30,66386,92955420,206455420,78000000
Sleepy Hollow,7.50,107511,101068340,207068340,70000000
Clear and Present Danger,6.80,29612,122012656,207500000,62000000
Jaws 2,5.60,18793,102922376,208900376,20000000
Master and Commander: The Far Side of the World,7.50,63632,93926386,209486484,135000000
Public Enemies,7.10,71323,97104620,210379983,102500000
The Bourne Identity,7.70,122597,121468960,213300000,60000000
Dracula,6.40,136,82522790,215862692,40000000
Million Dollar Baby,8.20,141212,100492203,216763646,30000000
The Prince of Egypt,6.80,24569,101413188,218600000,60000000
Jumper,5.90,69161,80172128,222117068,82500000
Interview with the Vampire: The Vampire Chronicles,7.40,78953,105264608,223564608,50000000
Yes Man,7.00,62150,97690976,225990976,50000000
Percy Jackson & the Olympians: The Lightning Thief,5.80,20451,88761720,226435277,95000000
The English Patient,7.30,54484,78716374,231716374,35000000
Artificial Intelligence: AI,6.90,91901,78616689,235900000,90000000
Journey to the Center of the Earth,5.90,23756,101704370,240904370,45000000
Babe,7.30,35644,63658910,246100000,30000000
Eragon,5.00,43555,75030163,249488115,100000000
Hercules,6.80,21902,99112101,250700000,70000000
Jumanji,6.40,54973,100458310,262758310,65000000
The Princess and the Frog,7.40,16232,104374107,263467382,105000000
Bridget Jones: The Edge Of Reason,5.60,26325,40203020,263894551,50000000
The Firm,5.50,957,158340892,270340892,42000000
Bridget Jones's Diary,6.80,58213,71500556,281527158,25000000
The Green Mile,8.40,198916,136801374,286601374,60000000
The Bourne Supremacy,7.60,104614,176087450,288587450,85000000
Shutter Island,8.00,105706,128012934,294512934,80000000
Horton Hears a Who,7.20,31323,154529439,297133947,85000000
Stuart Little,5.80,23226,140015224,298800000,105000000
Rambo: First Blood Part II,5.80,38548,150415432,300400000,44000000
The Polar Express,6.70,28550,181320597,305420597,170000000
The Hunchback of Notre Dame,6.50,19479,100138851,325500000,100000000
The Devil Wears Prada,6.80,66627,124740460,326551094,35000000
The Perfect Storm,6.20,55716,182618434,328711434,120000000
The Curious Case of Benjamin Button,8.00,137120,127509326,329809326,160000000
Apollo 13,7.50,87605,172070496,334100000,65000000
Tomorrow Never Dies,6.40,46650,125304276,339504276,110000000
How the Grinch Stole Christmas,5.70,40310,260044825,345141403,123000000
Hannibal,6.40,74862,165092266,350100280,87000000
Catch Me if You Can,5.70,224,164606800,351106800,52000000
Goldeneye,7.20,69199,106429941,356429941,60000000
Minority Report,7.70,135142,132024714,358824714,102000000
The World is Not Enough,6.30,59406,126930660,361730660,135000000
Die Hard: With a Vengeance,7.40,87437,100012499,364480746,90000000
Jurassic Park 3,7.90,151365,181166115,365900000,93000000
Live Free or Die Hard,7.50,130559,134529403,383531464,110000000
Gone with the Wind,8.20,78947,198680470,390525192,3900000
Twilight,6.10,4840,192769854,396439854,37000000
The Exorcist,8.10,103131,204632868,402500000,12000000
Beauty and the Beast,3.40,354,171340294,403476931,20000000
Night at the Museum: Battle of the Smithsonian,5.90,25631,177243721,413054631,150000000
The Chronicles of Narnia: Prince Caspian,6.90,46608,141621490,419490286,225000000
Die Another Day,6.00,67476,160942139,431942139,142000000
Mrs. Doubtfire,6.60,56917,219195051,441286003,25000000
The Bourne Ultimatum,8.20,146025,227471070,442161562,130000000
Tarzan,6.90,26871,171091819,448191819,145000000
Jaws,8.30,138017,260000000,470700000,12000000
Shrek,8.00,163855,267655011,484399218,50000000
Angels & Demons,6.70,60114,133375846,485975846,150000000
How to Train Your Dragon,8.20,28556,217581231,491581231,165000000
Twister,6.00,61665,241888385,495900000,88000000
Troy,7.00,129575,133298577,497398577,150000000
Sherlock Holmes,7.50,91555,209028679,518249844,80000000
Night at the Museum,6.40,67133,250863268,574480841,110000000
Quantum of Solace,6.80,93596,169368427,576368427,230000000
I am Legend,7.10,153631,256393010,585055701,150000000
Casino Royale,8.00,172936,167365000,596365000,102000000
The Passion of the Christ,7.10,87326,370782930,611899420,25000000
Forrest Gump,8.60,300455,329694499,679400525,55000000
